source,type,id,icon,label,description
oh1,binding,akm868,false,AKM868,"This binding is for users coming from the proprietary homeautomation-system 'IP-Symcon'. If you have bought some hardware from them, you can use this binding to enable your AKM868 presence detection system."
oh1,binding,alarmdecoder,true,Alarm Decoder,"The [Alarm Decoder](http://www.alarmdecoder.com) is a hardware adapter that interfaces with Ademco/Honeywell alarm panels. It acts essentially like a keypad, reading and writing messages on a serial bus that connects keypads with the main panel."
oh1,binding,anel,true,Anel NET-PwrCtrl,"Monitor and control Anel NET-PwrCtrl devices."
oh1,binding,asterisk,true,Asterisk,"The Asterisk binding is used to enable communication between openhab and the free and open source PBX solution [Asterisk](http://www.asterisk.org). This binding detects incoming phone calls or if someone makes a phone call. In combination with other bindings (e.g., the Samsung TV Binding) you can display caller IDs on your TV."
oh1,binding,astro,false,Astro,"The Astro binding is used for calculating many `DateTime` and positional values for sun and moon and for scheduling of events."
oh1,binding,autelis,true,Autelis,"Autelis manufactures a network enabled pool interface for many popular pool systems.  See the [Autelis website](http://www.autelis.com) and the [Autelis Command Protocol](http://www.autelis.com/wiki/index.php?title=Pool_Control_(PI)_HTTP_Command_Reference) for more information."
oh1,binding,benqprojector,true,BenQ Projector,"This binding is designed to interface with BenQ projectors that have an RS232 interface on them that accepts the commands documented by BenQ [here](ftp://ftp.benq-eu.com/projector/benq_rs232_commands.pdf)."
oh1,binding,bluetooth,true,Bluetooth,"The Bluetooth binding is used to connect openHAB with a Bluetooth device. With it, you can make openHAB react to Bluetooth devices that come in range of your network."
oh1,binding,bticino,true,Bticino,"The openHAB Bticino binding allows openHAB to connect to Bticino My Home Automation installations by OpenWebNet protocol."
oh1,binding,caldav-command,false,CalDAV Command,"This binding can be used to connect through the CalDAV Interface to calendars."
oh1,binding,caldav-personal,false,CalDAV Personal,"This binding can be used to connect through the CalDAV Interface to calendars."
oh1,binding,comfoair,false,ComfoAir,"This binding should be compatible with the Zehnder ComfoAir 350 ventilation system. ComfoAir 550 is untested but should supposedly use the same protocol. The same is true for the device WHR930 of StorkAir, G90-380 by Wernig and Santos 370 DC to Paul."
oh1,binding,configadmin,false,ConfigAdmin,"With this binding it is possible to dynamically change settings that are defined in the Configuration Admin Manager of OSGi, where all configuration data are kept for openHAB. The various `.cfg` files are as such used to define the initial configuration, while you can use this binding to change values during runtime, simply by sending a command to an item."
oh1,binding,cups,true,CUPS,"The openHAB CUPS binding allows interaction with printers and their print queues via a CUPS server."
oh1,binding,daikin,true,Daikin,"The Daikin binding allows monitoring and control of a Daikin air conditioner or heat pump, through either the KKRP01A wired module or the BRP072A42 wireless module."
oh1,binding,davis,true,Davis,"The openHAB Davis binding supports reading data from Davis weather stations.  Most Davis weather stations should be supported."
oh1,binding,ddwrt,true,DD-WRT,"The openHAB DD-WRT Binding allows interaction with a DD-WRT device."
oh1,binding,denon,true,Denon,"The openHAB Denon Binding allows interaction with Denon AV receivers. It should be compatible with previous generation receivers such as AVR-X2000/X3000, as well as current ones such as X2100W/X3100W."
oh1,binding,digitalstrom,true,digitalSTROM,"The openHAB digitalSTROM binding allows interaction with digitalSTROM devices."
oh1,binding,diyonxbee,true,DIYOnXBee,"The openHAB DIYOnXBee binding allows interaction with self built (DIY) hardware that communicate via XBee modules."
oh1,binding,dmx,false,DMX,"The openHAB DMX binding can control DMX devices like RGB LED strips, dimmers"
oh1,binding,dscalarm,true,DSC PowerSeries Alarm System,"This binding mintors and controls the DSC PowerSeries Alarm System, utilizing the EyezOn Envisalink 3/2DS interface or the DSC IT-100 RS-232 interface."
